ID,EC,OM,BD,P,SAND,SILT,CLAY,N,K,Ca,Mg,Na,CEC,SAR,ESP,Class.pH
396,0.7,3.6,1.3,12.7,60.2,27.1,11.8,0.1,1.6,10.5,1.6,0.1,14.3,0,0,Moderately alkaline
398,0.3,2.8,1.4,3.9,13.5,18,68.5,0.1,1.5,3.9,5.1,2.7,24.4,0.6,0.1,Neutral
399,0.3,1.1,1.3,5.9,44.2,38.7,17.1,0.1,1.1,8.1,3.4,0.2,15.7,0,0,Moderately acidic
403,0.2,2.6,1.3,3.1,21.5,26,52.5,0.2,2.9,3.6,2.8,0.8,23.8,0.3,0,Moderately alkaline
404,0.3,1.2,1.3,4,41.5,27.1,30.5,0.2,1.1,2.8,1.6,0.2,12.8,0.1,0,Neutral
411,0.2,3.5,1.5,24.2,29.5,21.3,49.2,0.1,0.4,19.4,8.3,0.6,23.6,0,0,Moderately acidic
418,0.5,3.3,1.3,23.5,15.5,39.3,45.2,0.2,0.7,7.6,3.9,30.12,9.6,0,0,Moderately acidic
419,0.4,3.8,1.3,24.5,45.5,41.3,13.2,0.2,1.4,6.1,2.3,30.12,10.4,0,0,Moderately acidic
420,31.12,8.2,1.4,7.8,24,30,46,0.1,0.5,25.2,1.4,0.1,11.9,0,0,Strongly alkaline
421,0.6,3.3,1.3,6.9,12.8,22,65.2,0.1,0.9,48.5,7.5,1.9,74.5,0.1,0,Moderately alkaline
425,0.3,2.6,1.3,5.1,8.2,54,37.8,0,31.12,18.2,6.2,0.6,26.4,0,0,Neutral
431,0.4,1.8,1.3,18.5,35.5,19.3,45.2,0.1,0.6,56.5,2,1,39.6,0,0,Moderately alkaline
432,0.1,2.6,1.3,1.1,20.9,27.8,51.2,0.2,2,34.6,11.7,1.8,59.8,0.1,0,Moderately alkaline
433,0.3,4.7,1.1,17.1,64.2,23.1,11.8,0,0.1,2.9,0.1,30.12,7.7,0,0,Strongly acidic
440,0.2,2.5,1.4,25.5,27.5,28,44.5,0.2,1.2,16.4,1.9,0.4,26.6,0,0,Neutral
441,0.2,1.8,1.4,1.1,16.9,19.8,63.2,0.2,3.8,27.2,23.2,4.6,86.1,0.1,0.1,Strongly alkaline
448,0.4,1.6,1.4,22.6,68.9,23.1,7.1,2.1,0.9,3.1,16.6,30.12,11.8,0,0,Neutral
449,0.3,1.8,1.3,0,64.2,25.1,9.8,0.1,0.1,2.6,1.7,0.2,7.2,0.1,0,Moderately acidic
450,0.4,1.2,1.4,10.1,26.2,22.7,51.1,0.1,1.1,55.9,9.1,2.3,18,0.1,0.1,Moderately alkaline
452,0.3,2.7,1.7,23.6,54.2,19.1,25.8,0.1,0.6,31.12,1.8,30.12,7.2,0,0,Neutral
453,0.1,0.7,1.6,47.1,37.5,18,44.5,0.1,2.7,25.2,3.7,1.5,25.2,0.1,0.1,Moderately alkaline
454,0.8,5.1,1.3,6.4,24,65.3,10.7,0.1,0.4,23.1,1.8,0.2,3.5,0,0.1,Moderately alkaline
459,0.6,2.8,1.4,20.6,45.5,28.7,25.8,0.2,0.3,15.6,4.6,2,44.7,0.2,0,Strongly acidic
462,0.3,2.5,1.4,19.6,65.5,19.1,14.5,0.1,1.5,27.2,3.3,0.4,17.1,0,0,Moderately alkaline
464,0.4,3.2,1.3,34.2,8.2,20,71.8,0.2,0.5,6.2,1.4,0.6,20.8,0.1,0,Strongly acidic
465,0.6,2.6,1.4,34.2,20.2,26,53.8,0.1,0.3,11.1,8.1,1.1,29.2,0.1,0,Strongly acidic
466,0.4,3.2,1.3,36.2,58.2,21.1,19.8,0,0.5,1.3,0.2,0.2,12.7,0.2,0,Moderately acidic
11.4,1.3,3.5,1.3,26.2,19.5,19.3,61.2,0.2,0.2,6.4,2.8,30.12,11.6,0,0,Strongly acidic
468,0.3,2.6,1.3,24.2,31.5,21.3,47.2,0.2,0.3,14.8,6.3,0.1,19,0,0,Moderately acidic
469,0.2,2.6,1.3,4,49.5,23.1,26.5,0.1,1.5,4.7,1.5,0.2,14.6,0.1,0,Moderately alkaline
470,0.2,2.3,1.4,8.1,40.2,18.7,41.1,30.12,3.2,37.2,3.8,1.1,29.2,0,0,Moderately alkaline
477,31.12,1.8,1.4,39,50.2,19.1,29.8,0.2,2.4,4.2,2.6,0.9,25.4,0.3,0,Moderately alkaline
479,0.4,2.5,1.3,2.1,38.2,18,43.8,0.1,31.12,3.9,3.7,0.6,21,0.2,0,Neutral
480,0.5,2.5,1.2,10.7,34.2,14,51.8,0,0.9,36.5,13.3,1.1,18.6,0,0.1,Strongly alkaline
481,0.3,0.9,1.7,36.4,10,43.3,46.7,0.2,0.5,24.8,0.8,0.1,11.5,0,0,Moderately alkaline
482,0.2,1.2,1.5,23.6,42.2,31.1,25.8,0.1,0.6,0.7,1.7,30.12,6.8,0,0,Moderately acidic
483,0.3,3.8,1.4,23.5,17.5,21.3,61.2,0.1,0.6,2.7,2.1,30.12,7.8,0,0,Moderately acidic
488,0.8,1.1,1.3,25.2,25.5,17.3,57.2,0.1,2.8,2.1,4.6,2.4,27.6,0.6,0.1,Moderately alkaline
490,0.8,0.9,1.7,29.1,17.5,42,40.5,0.1,0.5,0.1,2.3,2.2,4.3,1.3,0.5,Moderately alkaline
